control,corruption,severity,mean,std,minimum,maximum,seeds
cutmix_p1,glass_blur,2,0.5499999999999995,0.36166282640050207,0.21000000000000085,0.9299999999999997,3
cutmix_p1,glass_blur,3,1.4833333333333318,1.251172783165192,0.03999999999999915,2.259999999999998,3
cutmix_p1,glass_blur,4,0.2933333333333324,0.4789919971495693,-0.23000000000000043,0.7099999999999991,3
cutmix_p1,glass_blur,5,0.6500000000000009,0.5666568626602886,0.0,1.0400000000000027,3
cutmix_p1,impulse_noise,1,2.9933333333333345,3.4053242625825395,-0.07000000000000028,6.659999999999997,3
cutmix_p1,impulse_noise,2,6.18,6.651826816747414,-0.5600000000000023,12.740000000000002,3
cutmix_p1,impulse_noise,3,4.95,5.7426126458259406,-0.8900000000000006,10.590000000000002,3
cutmix_p1,impulse_noise,4,2.2833333333333337,2.30612951356452,0.02000000000000135,4.63,3
cutmix_p1,impulse_noise,5,0.7266666666666667,1.3957196471116011,-0.5099999999999998,2.2399999999999998,3
cutmix_p1,jpeg_compression,1,2.2999999999999994,1.1484337159801588,1.5300000000000011,3.6199999999999974,3
cutmix_p1,jpeg_compression,2,2.9366666666666625,1.658985633853812,1.6199999999999974,4.799999999999997,3
cutmix_p1,jpeg_compression,3,2.8200000000000003,1.2910848151845014,1.740000000000002,4.25,3
cutmix_p1,jpeg_compression,4,2.3933333333333358,1.3292980603812417,1.1300000000000026,3.780000000000001,3
cutmix_p1,jpeg_compression,5,2.616666666666665,1.6883818683382414,0.759999999999998,4.059999999999995,3
cutmix_p1,motion_blur,1,0.5399999999999968,0.6538348415310965,0.09000000000000341,1.289999999999992,3
cutmix_p1,motion_blur,2,0.7733333333333311,0.38004385711827277,0.3399999999999963,1.0499999999999972,3
cutmix_p1,motion_blur,3,0.7933333333333342,0.43546909572704745,0.37000000000000455,1.240000000000002,3
cutmix_p1,motion_blur,4,0.6366666666666655,0.6653069467045509,-0.03999999999999915,1.2899999999999991,3
cutmix_p1,motion_blur,5,0.7200000000000012,0.5325410782277749,0.21999999999999886,1.2800000000000011,3
cutmix_p1,pixelate,1,0.0266666666666661,0.6238856732874402,-0.45999999999999375,0.7299999999999898,3
cutmix_p1,pixelate,2,1.419999999999997,0.6802205524680944,0.7299999999999969,2.0899999999999963,3
cutmix_p1,pixelate,3,2.4466666666666703,0.7655934517309666,1.740000000000002,3.260000000000005,3
cutmix_p1,pixelate,4,4.02,0.6668583057891679,3.25,4.41,3
cutmix_p1,pixelate,5,1.8500000000000003,0.3132091952673155,1.6400000000000006,2.209999999999999,3
