method,corruption,severity,mean,std,seeds
cutmix_p05,zoom_blur,2,60.54666666666666,0.5193585787616644,3
cutmix_p05,zoom_blur,3,53.080000000000005,0.9168969407736103,3
cutmix_p05,zoom_blur,4,46.169999999999995,1.1234322409473552,3
cutmix_p05,zoom_blur,5,37.78666666666667,1.008480705483916,3
cutmix_p1,brightness,1,78.43333333333334,0.16563010998406366,3
cutmix_p1,brightness,2,77.32333333333334,0.33291640592397237,3
cutmix_p1,brightness,3,75.50333333333333,0.3043572462310245,3
cutmix_p1,brightness,4,72.86666666666666,0.19655363983740629,3
cutmix_p1,brightness,5,65.51333333333334,0.6188968680913947,3
cutmix_p1,contrast,1,77.35333333333334,0.31005375877955865,3
cutmix_p1,contrast,2,69.59666666666668,0.2610236260060239,3
cutmix_p1,contrast,3,61.95666666666667,0.2182506204649459,3
cutmix_p1,contrast,4,48.449999999999996,0.17058722109232324,3
cutmix_p1,contrast,5,18.333333333333332,0.5704676444228292,3
cutmix_p1,defocus_blur,1,78.28666666666668,0.11718930554164654,3
cutmix_p1,defocus_blur,2,74.01666666666667,0.2775487945088772,3
cutmix_p1,defocus_blur,3,64.05333333333333,0.11503622617825314,3
cutmix_p1,defocus_blur,4,52.660000000000004,0.3157530680769405,3
cutmix_p1,defocus_blur,5,31.563333333333333,0.44377171308380264,3
cutmix_p1,elastic_transform,1,69.50333333333333,0.19035055380359472,3
cutmix_p1,elastic_transform,2,68.91000000000001,0.09165151389911871,3
cutmix_p1,elastic_transform,3,62.27,0.1705872210923179,3
cutmix_p1,elastic_transform,4,54.550000000000004,1.0016486409914407,3
cutmix_p1,elastic_transform,5,47.26666666666667,0.5514828495368921,3
cutmix_p1,fog,1,77.96333333333332,0.21385353243126498,3
cutmix_p1,fog,2,74.16333333333334,0.25967928938083085,3
cutmix_p1,fog,3,69.19666666666666,0.5450076452063152,3
cutmix_p1,fog,4,61.49333333333334,0.39310727967481485,3
cutmix_p1,fog,5,37.03666666666667,0.49440199568097964,3
cutmix_p1,frost,1,65.93666666666667,0.5071817557181364,3
cutmix_p1,frost,2,55.39666666666667,0.9671780256671094,3
cutmix_p1,frost,3,42.78666666666667,1.6931135027910367,3
cutmix_p1,frost,4,41.68333333333334,1.232247269558075,3
cutmix_p1,frost,5,32.053333333333335,1.285820101465729,3
cutmix_p1,gaussian_noise,1,28.570000000000004,2.790931744059679,3
cutmix_p1,gaussian_noise,2,13.46,1.987133614028005,3
cutmix_p1,gaussian_noise,3,7.63,1.0278132126023676,3
cutmix_p1,gaussian_noise,4,6.3,0.8335466393669881,3
cutmix_p1,gaussian_noise,5,5.456666666666667,0.6885734044626858,3
cutmix_p1,glass_blur,1,21.046666666666667,1.1683464098174536,3
cutmix_p1,glass_blur,2,22.22,1.1459057552870566,3
cutmix_p1,glass_blur,3,25.53333333333333,1.1524900578023802,3
cutmix_p1,glass_blur,4,16.536666666666665,1.087213563810411,3
cutmix_p1,glass_blur,5,19.463333333333335,0.8617037387254017,3
cutmix_p1,impulse_noise,1,60.55666666666667,3.085714395943561,3
cutmix_p1,impulse_noise,2,34.800000000000004,5.7155664636149615,3
cutmix_p1,impulse_noise,3,18.87333333333333,4.50104802610829,3
cutmix_p1,impulse_noise,4,7.483333333333333,1.4407058455261894,3
cutmix_p1,impulse_noise,5,4.246666666666667,0.7702164198024691,3
cutmix_p1,jpeg_compression,1,56.88333333333333,0.7490215840236731,3
cutmix_p1,jpeg_compression,2,47.32333333333333,1.1921549116341084,3
cutmix_p1,jpeg_compression,3,43.95333333333334,0.7352777253074725,3
cutmix_p1,jpeg_compression,4,40.49333333333333,1.0396794377755705,3
cutmix_p1,jpeg_compression,5,35.79666666666667,0.9233814668561046,3
cutmix_p1,motion_blur,1,68.35666666666667,0.15307950004272794,3
cutmix_p1,motion_blur,2,58.876666666666665,0.2685764943797832,3
cutmix_p1,motion_blur,3,49.51333333333333,0.18929694486000712,3
cutmix_p1,motion_blur,4,49.71,0.3579106033634644,3
cutmix_p1,motion_blur,5,41.62,0.0953939201416944,3
cutmix_p1,pixelate,1,73.39,0.40730823708831937,3
cutmix_p1,pixelate,2,62.166666666666664,0.6735230755759892,3
cutmix_p1,pixelate,3,53.35333333333333,0.8980163324424191,3
cutmix_p1,pixelate,4,26.626666666666665,1.2605686547480603,3
cutmix_p1,pixelate,5,11.843333333333334,0.6178457196852091,3
cutmix_p1,shot_noise,1,43.54,2.2074193076984705,3
cutmix_p1,shot_noise,2,26.813333333333333,2.3504538568823983,3
cutmix_p1,shot_noise,3,11.423333333333332,1.4948021050738896,3
cutmix_p1,shot_noise,4,8.793333333333335,0.9529602999775671,3
cutmix_p1,shot_noise,5,6.503333333333333,0.6819335255971316,3
cutmix_p1,snow,1,71.48,0.9175510884958895,3
cutmix_p1,snow,2,53.43333333333334,0.959287930359459,3
cutmix_p1,snow,3,60.25666666666666,0.7476853170507843,3
cutmix_p1,snow,4,56.04333333333333,0.9016281569102218,3
cutmix_p1,snow,5,45.71333333333333,0.6813467056743832,3
cutmix_p1,zoom_blur,1,66.39999999999999,0.15620499351813863,3
cutmix_p1,zoom_blur,2,61.00333333333333,0.25006665778014814,3
cutmix_p1,zoom_blur,3,53.86333333333334,0.6443860126766688,3
cutmix_p1,zoom_blur,4,46.92666666666667,0.7324160930327335,3
cutmix_p1,zoom_blur,5,39.053333333333335,0.9514375088955334,3
