method,seed,corruption,severity,accuracy
cutmix_p05,43,shot_noise,5,8.7
cutmix_p05,43,snow,1,71.06
cutmix_p05,43,snow,2,52.43
cutmix_p05,43,snow,3,59.13
cutmix_p05,43,snow,4,54.79
cutmix_p05,43,snow,5,44.11
cutmix_p05,43,zoom_blur,1,65.91
cutmix_p05,43,zoom_blur,2,59.98
cutmix_p05,43,zoom_blur,3,52.91
cutmix_p05,43,zoom_blur,4,46.37
cutmix_p05,43,zoom_blur,5,37.69
cutmix_p05,44,brightness,1,77.99
cutmix_p05,44,brightness,2,77.05
cutmix_p05,44,brightness,3,75.33
cutmix_p05,44,brightness,4,73.35
cutmix_p05,44,brightness,5,66.88
cutmix_p05,44,contrast,1,77.08
cutmix_p05,44,contrast,2,69.72
cutmix_p05,44,contrast,3,62.2
cutmix_p05,44,contrast,4,48.7
cutmix_p05,44,contrast,5,18.99
cutmix_p05,44,defocus_blur,1,78.22
cutmix_p05,44,defocus_blur,2,74.73
cutmix_p05,44,defocus_blur,3,65.0
cutmix_p05,44,defocus_blur,4,52.54
cutmix_p05,44,defocus_blur,5,31.38
cutmix_p05,44,elastic_transform,1,69.54
cutmix_p05,44,elastic_transform,2,69.37
cutmix_p05,44,elastic_transform,3,62.49
cutmix_p05,44,elastic_transform,4,55.89
cutmix_p05,44,elastic_transform,5,49.49
cutmix_p05,44,fog,1,77.77
cutmix_p05,44,fog,2,74.51
cutmix_p05,44,fog,3,69.71
cutmix_p05,44,fog,4,62.26
cutmix_p05,44,fog,5,38.19
cutmix_p05,44,frost,1,66.18
cutmix_p05,44,frost,2,56.36
cutmix_p05,44,frost,3,43.82
cutmix_p05,44,frost,4,41.68
cutmix_p05,44,frost,5,32.39
cutmix_p05,44,gaussian_noise,1,35.66
cutmix_p05,44,gaussian_noise,2,17.92
cutmix_p05,44,gaussian_noise,3,10.64
cutmix_p05,44,gaussian_noise,4,8.53
cutmix_p05,44,gaussian_noise,5,7.06
cutmix_p05,44,glass_blur,1,21.21
cutmix_p05,44,glass_blur,2,22.82
cutmix_p05,44,glass_blur,3,26.52
cutmix_p05,44,glass_blur,4,17.24
cutmix_p05,44,glass_blur,5,20.01
cutmix_p05,44,impulse_noise,1,62.45
cutmix_p05,44,impulse_noise,2,38.71
cutmix_p05,44,impulse_noise,3,21.65
cutmix_p05,44,impulse_noise,4,8.63
cutmix_p05,44,impulse_noise,5,4.24
cutmix_p05,44,jpeg_compression,1,58.89
cutmix_p05,44,jpeg_compression,2,49.79
cutmix_p05,44,jpeg_compression,3,46.2
cutmix_p05,44,jpeg_compression,4,42.43
cutmix_p05,44,jpeg_compression,5,37.4
cutmix_p05,44,motion_blur,1,69.47
cutmix_p05,44,motion_blur,2,59.92
cutmix_p05,44,motion_blur,3,50.15
cutmix_p05,44,motion_blur,4,50.26
cutmix_p05,44,motion_blur,5,41.94
cutmix_p05,44,pixelate,1,73.36
cutmix_p05,44,pixelate,2,63.32
cutmix_p05,44,pixelate,3,55.75
cutmix_p05,44,pixelate,4,30.34
cutmix_p05,44,pixelate,5,13.94
cutmix_p05,44,shot_noise,1,49.79
cutmix_p05,44,shot_noise,2,33.52
cutmix_p05,44,shot_noise,3,15.78
cutmix_p05,44,shot_noise,4,11.92
cutmix_p05,44,shot_noise,5,8.39
cutmix_p05,44,snow,1,71.4
cutmix_p05,44,snow,2,52.45
cutmix_p05,44,snow,3,59.43
cutmix_p05,44,snow,4,55.3
cutmix_p05,44,snow,5,45.32
cutmix_p05,44,zoom_blur,1,66.45
cutmix_p05,44,zoom_blur,2,61.0
cutmix_p05,44,zoom_blur,3,54.07
cutmix_p05,44,zoom_blur,4,47.18
cutmix_p05,44,zoom_blur,5,38.84
cutmix_p1,42,brightness,1,78.45
cutmix_p1,42,brightness,2,77.49
cutmix_p1,42,brightness,3,75.61
cutmix_p1,42,brightness,4,72.99
cutmix_p1,42,brightness,5,66.01
cutmix_p1,42,contrast,1,77.58
cutmix_p1,42,contrast,2,69.89
cutmix_p1,42,contrast,3,62.15
cutmix_p1,42,contrast,4,48.5
cutmix_p1,42,contrast,5,18.05
cutmix_p1,42,defocus_blur,1,78.2
cutmix_p1,42,defocus_blur,2,74.27
cutmix_p1,42,defocus_blur,3,63.94
cutmix_p1,42,defocus_blur,4,52.53
cutmix_p1,42,defocus_blur,5,31.09
cutmix_p1,42,elastic_transform,1,69.7
cutmix_p1,42,elastic_transform,2,68.93
cutmix_p1,42,elastic_transform,3,62.32
cutmix_p1,42,elastic_transform,4,54.34
cutmix_p1,42,elastic_transform,5,46.74
cutmix_p1,42,fog,1,77.85
cutmix_p1,42,fog,2,74.39
cutmix_p1,42,fog,3,69.46
cutmix_p1,42,fog,4,61.74
cutmix_p1,42,fog,5,37.38
cutmix_p1,42,frost,1,65.69
cutmix_p1,42,frost,2,55.09
cutmix_p1,42,frost,3,42.0
cutmix_p1,42,frost,4,41.09
cutmix_p1,42,frost,5,31.12
cutmix_p1,42,gaussian_noise,1,28.78
cutmix_p1,42,gaussian_noise,2,12.99
cutmix_p1,42,gaussian_noise,3,7.41
cutmix_p1,42,gaussian_noise,4,5.88
cutmix_p1,42,gaussian_noise,5,5.23
cutmix_p1,42,glass_blur,1,21.65
cutmix_p1,42,glass_blur,2,23.12
cutmix_p1,42,glass_blur,3,25.87
cutmix_p1,42,glass_blur,4,17.44
cutmix_p1,42,glass_blur,5,19.91
cutmix_p1,42,impulse_noise,1,62.15
cutmix_p1,42,impulse_noise,2,36.77
cutmix_p1,42,impulse_noise,3,20.23
cutmix_p1,42,impulse_noise,4,7.98
cutmix_p1,42,impulse_noise,5,4.63
cutmix_p1,42,jpeg_compression,1,56.02
cutmix_p1,42,jpeg_compression,2,45.96
cutmix_p1,42,jpeg_compression,3,43.11
cutmix_p1,42,jpeg_compression,4,39.32
cutmix_p1,42,jpeg_compression,5,34.81
cutmix_p1,42,motion_blur,1,68.45
cutmix_p1,42,motion_blur,2,59.07
cutmix_p1,42,motion_blur,3,49.73
cutmix_p1,42,motion_blur,4,50.11
cutmix_p1,42,motion_blur,5,41.61
