seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
44,glass_blur,3,26.52,26.27,baseline,0.25
44,glass_blur,4,17.24,15.38,baseline,1.8599999999999977
44,glass_blur,5,20.01,19.12,baseline,0.8900000000000006
44,impulse_noise,1,62.45,54.56,baseline,7.890000000000001
44,impulse_noise,2,38.71,32.84,baseline,5.869999999999997
44,impulse_noise,3,21.65,20.76,baseline,0.889999999999997
44,impulse_noise,4,8.63,9.83,baseline,-1.1999999999999993
44,impulse_noise,5,4.24,5.74,baseline,-1.5
44,jpeg_compression,1,58.89,62.43,baseline,-3.539999999999999
44,jpeg_compression,2,49.79,55.1,baseline,-5.310000000000002
44,jpeg_compression,3,46.2,52.13,baseline,-5.93
44,jpeg_compression,4,42.43,49.29,baseline,-6.859999999999999
44,jpeg_compression,5,37.4,44.34,baseline,-6.940000000000005
44,motion_blur,1,69.47,66.97,baseline,2.5
44,motion_blur,2,59.92,58.43,baseline,1.490000000000002
44,motion_blur,3,50.15,49.88,baseline,0.269999999999996
44,motion_blur,4,50.26,50.25,baseline,0.00999999999999801
44,motion_blur,5,41.94,42.31,baseline,-0.37000000000000455
44,pixelate,1,73.36,72.43,baseline,0.9299999999999926
44,pixelate,2,63.32,64.54,baseline,-1.220000000000006
44,pixelate,3,55.75,58.85,baseline,-3.1000000000000014
44,pixelate,4,30.34,41.21,baseline,-10.870000000000001
44,pixelate,5,13.94,23.01,baseline,-9.070000000000002
44,shot_noise,1,49.79,55.53,baseline,-5.740000000000002
44,shot_noise,2,33.52,42.66,baseline,-9.139999999999993
44,shot_noise,3,15.78,23.24,baseline,-7.459999999999999
44,shot_noise,4,11.92,18.14,baseline,-6.220000000000001
44,shot_noise,5,8.39,12.56,baseline,-4.17
44,snow,1,71.4,67.33,baseline,4.070000000000007
44,snow,2,52.45,49.71,baseline,2.740000000000002
44,snow,3,59.43,56.11,baseline,3.3200000000000003
44,snow,4,55.3,52.84,baseline,2.4599999999999937
44,snow,5,45.32,45.03,baseline,0.28999999999999915
44,zoom_blur,1,66.45,64.39,baseline,2.0600000000000023
44,zoom_blur,2,61.0,59.46,baseline,1.5399999999999991
