method,seed,corruption,accuracy,baseline,delta
randaugment,43,jpeg_compression,83.092,79.588,3.504000000000005
randaugment,43,motion_blur,81.25,77.24600000000001,4.003999999999991
randaugment,43,pixelate,73.916,74.26599999999999,-0.3499999999999943
randaugment,43,shot_noise,67.74199999999999,58.69200000000001,9.049999999999983
randaugment,43,snow,86.464,81.912,4.5519999999999925
randaugment,43,zoom_blur,84.112,78.272,5.839999999999989
randaugment,44,brightness,94.458,93.428,1.0300000000000011
randaugment,44,contrast,87.112,77.134,9.977999999999994
randaugment,44,defocus_blur,85.15599999999999,82.40599999999999,2.75
randaugment,44,elastic_transform,86.79400000000001,84.642,2.1520000000000152
randaugment,44,fog,90.518,88.9,1.617999999999995
randaugment,44,frost,86.26599999999999,78.15,8.115999999999985
randaugment,44,gaussian_noise,58.474000000000004,42.536,15.938000000000002
randaugment,44,glass_blur,72.2,54.342,17.858000000000004
randaugment,44,impulse_noise,83.91,50.275999999999996,33.634
randaugment,44,jpeg_compression,84.268,79.588,4.680000000000007
randaugment,44,motion_blur,81.59400000000001,78.386,3.2080000000000126
randaugment,44,pixelate,76.078,75.16799999999999,0.9100000000000108
randaugment,44,shot_noise,69.15599999999999,55.45399999999999,13.701999999999998
randaugment,44,snow,87.35,82.57000000000001,4.779999999999987
randaugment,44,zoom_blur,82.438,77.462,4.975999999999999
