method,seed,category,severity,accuracy,baseline,delta
randaugment,44,blur,1,88.355,82.5575,5.797499999999999
randaugment,44,blur,2,86.7675,80.155,6.612499999999997
randaugment,44,blur,3,83.2975,76.0875,7.209999999999994
randaugment,44,blur,4,76.0325,68.71000000000001,7.322499999999991
randaugment,44,blur,5,67.2825,58.235,9.0475
randaugment,44,digital,1,92.6075,91.21000000000001,1.3974999999999937
randaugment,44,digital,2,90.5,87.82249999999999,2.677500000000009
randaugment,44,digital,3,87.9,84.3175,3.5825000000000102
randaugment,44,digital,4,79.4375,75.17750000000001,4.259999999999991
randaugment,44,digital,5,67.37,57.137499999999996,10.232500000000009
randaugment,44,noise,1,88.74666666666667,81.57666666666667,7.170000000000002
randaugment,44,noise,2,81.12666666666667,65.19666666666666,15.930000000000007
randaugment,44,noise,3,69.55666666666667,45.876666666666665,23.680000000000007
randaugment,44,noise,4,61.73333333333333,32.07,29.663333333333327
randaugment,44,noise,5,51.403333333333336,22.39,29.013333333333335
randaugment,44,weather,1,93.9825,92.4375,1.5450000000000017
randaugment,44,weather,2,91.82249999999999,88.68,3.142499999999984
randaugment,44,weather,3,90.285,86.41499999999999,3.8700000000000045
randaugment,44,weather,4,88.85,84.7425,4.1074999999999875
randaugment,44,weather,5,83.3,76.535,6.765000000000001
