control,corruption,severity,mean,std,minimum,maximum,seeds,dataset
cutmix_p1,frost,4,-0.173333333333332,1.4249678358943128,-1.259999999999991,1.4399999999999975,3,CIFAR-10
cutmix_p1,frost,5,-0.0100000000000027,1.8624983221468936,-1.6400000000000006,2.019999999999996,3,CIFAR-10
cutmix_p1,gaussian_noise,1,10.336666666666668,2.3003115730990253,8.480000000000004,12.909999999999997,3,CIFAR-10
cutmix_p1,gaussian_noise,2,18.12,8.29535412143448,10.57,27.0,3,CIFAR-10
cutmix_p1,gaussian_noise,3,15.946666666666667,8.568321500348443,7.719999999999999,24.82,3,CIFAR-10
cutmix_p1,gaussian_noise,4,12.903333333333334,6.440165629340081,6.490000000000002,19.37,3,CIFAR-10
cutmix_p1,gaussian_noise,5,10.056666666666668,5.330378348047477,4.690000000000001,15.35,3,CIFAR-10
cutmix_p1,glass_blur,1,-0.5733333333333354,6.282080334836013,-4.280000000000001,6.68,3,CIFAR-10
cutmix_p1,glass_blur,2,-0.5966666666666688,4.966249423189829,-3.719999999999999,5.129999999999996,3,CIFAR-10
cutmix_p1,glass_blur,3,-0.3066666666666625,3.922299495619032,-3.139999999999993,4.170000000000002,3,CIFAR-10
cutmix_p1,glass_blur,4,0.1333333333333328,6.453102612955517,-3.82,7.579999999999998,3,CIFAR-10
cutmix_p1,glass_blur,5,-0.0666666666666652,4.382879570936596,-3.210000000000001,4.940000000000005,3,CIFAR-10
cutmix_p1,impulse_noise,1,2.7666666666666657,1.9478278500250932,0.6699999999999875,4.52000000000001,3,CIFAR-10
cutmix_p1,impulse_noise,2,7.166666666666671,4.289106356029575,2.990000000000009,11.560000000000002,3,CIFAR-10
cutmix_p1,impulse_noise,3,7.9333333333333345,4.532133419630687,4.800000000000004,13.130000000000004,3,CIFAR-10
cutmix_p1,impulse_noise,4,4.506666666666665,4.821331074851979,-0.990000000000002,8.019999999999996,3,CIFAR-10
cutmix_p1,impulse_noise,5,2.6133333333333346,8.480049135077776,-3.469999999999999,12.3,3,CIFAR-10
cutmix_p1,jpeg_compression,1,1.5833333333333333,0.6957250414735207,0.7800000000000011,1.990000000000009,3,CIFAR-10
cutmix_p1,jpeg_compression,2,2.74,0.4199999999999996,2.4399999999999977,3.219999999999999,3,CIFAR-10
cutmix_p1,jpeg_compression,3,3.7900000000000063,0.4995998398718749,3.230000000000004,4.190000000000012,3,CIFAR-10
cutmix_p1,jpeg_compression,4,4.279999999999997,0.7528612089887438,3.4200000000000017,4.819999999999993,3,CIFAR-10
cutmix_p1,jpeg_compression,5,4.609999999999997,0.7350510186374745,3.870000000000005,5.339999999999989,3,CIFAR-10
cutmix_p1,motion_blur,1,-0.2966666666666668,0.4539089482851583,-0.6900000000000119,0.2000000000000028,3,CIFAR-10
cutmix_p1,motion_blur,2,-0.3000000000000019,0.7700000000000041,-1.1800000000000068,0.25,3,CIFAR-10
cutmix_p1,motion_blur,3,-0.75,1.1003635762783095,-1.9899999999999949,0.1099999999999994,3,CIFAR-10
cutmix_p1,motion_blur,4,-0.5333333333333362,0.9645897228010124,-1.5900000000000034,0.2999999999999971,3,CIFAR-10
cutmix_p1,motion_blur,5,-0.5133333333333354,1.6235249715767583,-2.3799999999999955,0.5699999999999932,3,CIFAR-10
cutmix_p1,pixelate,1,0.0666666666666723,0.2676440422152746,-0.2299999999999897,0.2900000000000062,3,CIFAR-10
cutmix_p1,pixelate,2,0.446666666666663,0.7350056689123744,-0.1700000000000017,1.259999999999991,3,CIFAR-10
cutmix_p1,pixelate,3,0.9199999999999968,1.5361966020011857,-0.5799999999999983,2.489999999999995,3,CIFAR-10
cutmix_p1,pixelate,4,4.193333333333331,2.3374416213743903,1.9199999999999944,6.589999999999996,3,CIFAR-10
cutmix_p1,pixelate,5,7.013333333333335,6.87593145205312,1.4200000000000017,14.69,3,CIFAR-10
cutmix_p1,shot_noise,1,6.23333333333333,0.3177000681985014,6.039999999999992,6.599999999999994,3,CIFAR-10
cutmix_p1,shot_noise,2,11.066666666666668,2.749569663298853,8.839999999999996,14.140000000000008,3,CIFAR-10
cutmix_p1,shot_noise,3,17.95333333333333,8.267686093057318,9.809999999999995,26.34,3,CIFAR-10
cutmix_p1,shot_noise,4,16.866666666666664,7.548803437190116,9.46,24.55,3,CIFAR-10
cutmix_p1,shot_noise,5,12.666666666666666,6.355189480521673,6.34,19.05,3,CIFAR-10
cutmix_p1,snow,1,-0.7333333333333295,0.2145538005567153,-0.9799999999999898,-0.5900000000000034,3,CIFAR-10
cutmix_p1,snow,2,-1.0900000000000034,1.0658799181896563,-1.8900000000000008,0.1199999999999903,3,CIFAR-10
cutmix_p1,snow,3,-1.1400000000000006,0.3874274125562097,-1.4300000000000068,-0.7000000000000028,3,CIFAR-10
cutmix_p1,snow,4,-1.2966666666666669,0.3784617990409783,-1.5300000000000011,-0.8599999999999994,3,CIFAR-10
cutmix_p1,snow,5,-0.5866666666666683,0.7259706146486411,-1.289999999999992,0.1599999999999966,3,CIFAR-10
cutmix_p1,zoom_blur,1,0.2866666666666712,0.8258530942808894,-0.2099999999999937,1.2399999999999949,3,CIFAR-10
cutmix_p1,zoom_blur,2,-0.0666666666666628,1.9437678187822085,-1.480000000000004,2.1500000000000057,3,CIFAR-10
cutmix_p1,zoom_blur,3,0.193333333333328,2.9652037591594445,-2.030000000000001,3.559999999999988,3,CIFAR-10
cutmix_p1,zoom_blur,4,0.176666666666667,4.4472163578280455,-2.509999999999991,5.310000000000002,3,CIFAR-10
cutmix_p1,zoom_blur,5,-0.1633333333333316,5.0780934742611175,-3.1499999999999986,5.700000000000003,3,CIFAR-10
baseline,brightness,1,1.8333333333333288,0.1789785834487887,1.6799999999999926,2.030000000000001,3,CIFAR-100
baseline,brightness,2,1.7666666666666655,0.0665832811847952,1.6899999999999975,1.8100000000000025,3,CIFAR-100
baseline,brightness,3,1.4533333333333331,0.2502665245959392,1.210000000000008,1.7099999999999935,3,CIFAR-100
baseline,brightness,4,1.323333333333333,0.8403174003513955,0.4699999999999988,2.1499999999999915,3,CIFAR-100
baseline,brightness,5,0.8399999999999915,2.140747532989351,-1.500000000000007,2.6999999999999886,3,CIFAR-100
baseline,contrast,1,2.123333333333335,0.4565449959569554,1.8400000000000036,2.6500000000000057,3,CIFAR-100
baseline,contrast,2,2.196666666666663,0.7144461724534138,1.7399999999999949,3.019999999999996,3,CIFAR-100
baseline,contrast,3,2.7333333333333365,1.3092873379565444,1.8000000000000045,4.230000000000004,3,CIFAR-100
baseline,contrast,4,2.523333333333331,1.4500114942073157,1.0700000000000005,3.969999999999999,3,CIFAR-100
baseline,contrast,5,2.8200000000000003,0.1900000000000006,2.6099999999999994,2.9800000000000004,3,CIFAR-100
baseline,defocus_blur,1,2.176666666666672,0.404268887416941,1.710000000000008,2.4200000000000017,3,CIFAR-100
baseline,defocus_blur,2,2.00666666666667,0.3937427248005181,1.75,2.460000000000008,3,CIFAR-100
baseline,defocus_blur,3,2.273333333333333,0.6829592471980529,1.730000000000004,3.039999999999999,3,CIFAR-100
baseline,defocus_blur,4,1.8666666666666671,0.2953528962670492,1.5799999999999983,2.1700000000000017,3,CIFAR-100
baseline,defocus_blur,5,-0.7500000000000012,0.883855191759377,-1.7100000000000044,0.0300000000000011,3,CIFAR-100
baseline,elastic_transform,1,2.1166666666666694,0.2042873792805991,1.9699999999999989,2.3500000000000085,3,CIFAR-100
baseline,elastic_transform,2,1.9400000000000024,0.3269556544854371,1.6899999999999975,2.3100000000000023,3,CIFAR-100
baseline,elastic_transform,3,1.7800000000000011,0.3642801120017413,1.3599999999999994,2.010000000000005,3,CIFAR-100
baseline,elastic_transform,4,-0.6600000000000014,0.1999999999999993,-0.8599999999999994,-0.4600000000000008,3,CIFAR-100
baseline,elastic_transform,5,-0.9533333333333356,0.4310839052125857,-1.4200000000000017,-0.5700000000000003,3,CIFAR-100
baseline,fog,1,2.1033333333333246,0.3982880029995052,1.759999999999991,2.539999999999992,3,CIFAR-100
baseline,fog,2,2.020000000000001,0.3109662361093235,1.75,2.3599999999999994,3,CIFAR-100
baseline,fog,3,1.3366666666666684,0.3251666239535334,1.0499999999999972,1.690000000000012,3,CIFAR-100
baseline,fog,4,0.8000000000000019,0.6744627491566922,0.0700000000000002,1.4000000000000057,3,CIFAR-100
baseline,fog,5,-1.3066666666666673,1.4956381023942005,-2.979999999999997,-0.1000000000000014,3,CIFAR-100
baseline,frost,1,0.9266666666666716,0.6636515149785657,0.2099999999999937,1.5200000000000102,3,CIFAR-100
baseline,frost,2,0.5533333333333322,0.6268439465555463,-0.1400000000000005,1.0799999999999983,3,CIFAR-100
baseline,frost,3,0.0033333333333326,0.3426854728950945,-0.3800000000000025,0.2800000000000011,3,CIFAR-100
baseline,frost,4,-0.2066666666666658,0.6182502190321764,-0.6899999999999977,0.490000000000002,3,CIFAR-100
baseline,frost,5,0.1433333333333332,0.6639528095680668,-0.240000000000002,0.9099999999999966,3,CIFAR-100
baseline,gaussian_noise,1,-7.173333333333335,1.6800099206056291,-8.850000000000001,-5.490000000000002,3,CIFAR-100
baseline,gaussian_noise,2,-7.150000000000001,2.066373635139588,-9.0,-4.920000000000002,3,CIFAR-100
baseline,gaussian_noise,3,-4.799999999999999,1.4739063742314158,-5.719999999999999,-3.1,3,CIFAR-100
baseline,gaussian_noise,4,-4.11,1.6455698101265712,-5.08,-2.210000000000001,3,CIFAR-100
baseline,gaussian_noise,5,-3.4233333333333333,1.097375657344983,-4.14,-2.1599999999999997,3,CIFAR-100
baseline,glass_blur,1,0.4200000000000005,0.7014983962918229,-0.379999999999999,0.9299999999999996,3,CIFAR-100
baseline,glass_blur,2,0.6066666666666668,1.0020146372849716,-0.4299999999999997,1.5700000000000005,3,CIFAR-100
baseline,glass_blur,3,0.9133333333333328,1.17500354609394,0.2199999999999988,2.27,3,CIFAR-100
baseline,glass_blur,4,1.5833333333333328,0.6137045977775741,0.879999999999999,2.0100000000000016,3,CIFAR-100
baseline,glass_blur,5,1.0600000000000012,0.700642562224135,0.4600000000000008,1.8300000000000016,3,CIFAR-100
baseline,impulse_noise,1,8.833333333333334,1.0106598504607474,7.890000000000001,9.900000000000006,3,CIFAR-100
baseline,impulse_noise,2,7.936666666666667,2.0750502001959723,5.869999999999997,10.020000000000003,3,CIFAR-100
baseline,impulse_noise,3,3.056666666666666,2.0170357788927142,0.889999999999997,4.879999999999999,3,CIFAR-100
baseline,impulse_noise,4,-0.1933333333333333,0.8723149278404745,-1.1999999999999993,0.3399999999999998,3,CIFAR-100
baseline,impulse_noise,5,-1.0633333333333337,0.6470188044665574,-1.5,-0.3200000000000003,3,CIFAR-100
baseline,jpeg_compression,1,-2.719999999999999,0.8407139822793479,-3.539999999999999,-1.8599999999999997,3,CIFAR-100
baseline,jpeg_compression,2,-4.356666666666669,0.85704920123254,-5.310000000000002,-3.649999999999999,3,CIFAR-100
baseline,jpeg_compression,3,-5.030000000000001,0.8464041587799527,-5.93,-4.25,3,CIFAR-100
