method,seed,corruption,severity,accuracy
cutmix_p1,42,snow,1,92.58
cutmix_p1,42,snow,2,84.29
cutmix_p1,42,snow,3,87.41
cutmix_p1,42,snow,4,84.82
cutmix_p1,42,snow,5,78.73
cutmix_p1,42,zoom_blur,1,88.85
cutmix_p1,42,zoom_blur,2,84.98
cutmix_p1,42,zoom_blur,3,77.23
cutmix_p1,42,zoom_blur,4,68.51
cutmix_p1,42,zoom_blur,5,55.71
cutmix_p1,43,brightness,1,95.53
cutmix_p1,43,brightness,2,95.08
cutmix_p1,43,brightness,3,94.54
cutmix_p1,43,brightness,4,93.95
cutmix_p1,43,brightness,5,90.97
cutmix_p1,43,contrast,1,95.18
cutmix_p1,43,contrast,2,92.63
cutmix_p1,43,contrast,3,89.73
cutmix_p1,43,contrast,4,82.33
cutmix_p1,43,contrast,5,44.5
cutmix_p1,43,defocus_blur,1,95.71
cutmix_p1,43,defocus_blur,2,94.43
cutmix_p1,43,defocus_blur,3,88.9
cutmix_p1,43,defocus_blur,4,80.05
cutmix_p1,43,defocus_blur,5,48.87
cutmix_p1,43,elastic_transform,1,91.76
cutmix_p1,43,elastic_transform,2,91.43
cutmix_p1,43,elastic_transform,3,86.58
cutmix_p1,43,elastic_transform,4,80.45
cutmix_p1,43,elastic_transform,5,74.53
cutmix_p1,43,fog,1,95.7
cutmix_p1,43,fog,2,94.52
cutmix_p1,43,fog,3,92.68
cutmix_p1,43,fog,4,89.77
cutmix_p1,43,fog,5,72.51
cutmix_p1,43,frost,1,90.36
cutmix_p1,43,frost,2,84.56
cutmix_p1,43,frost,3,75.21
cutmix_p1,43,frost,4,73.54
cutmix_p1,43,frost,5,63.35
cutmix_p1,43,gaussian_noise,1,61.55
cutmix_p1,43,gaussian_noise,2,32.76
cutmix_p1,43,gaussian_noise,3,18.38
cutmix_p1,43,gaussian_noise,4,15.31
cutmix_p1,43,gaussian_noise,5,13.85
cutmix_p1,43,glass_blur,1,57.85
cutmix_p1,43,glass_blur,2,59.59
cutmix_p1,43,glass_blur,3,62.41
cutmix_p1,43,glass_blur,4,47.75
cutmix_p1,43,glass_blur,5,51.63
cutmix_p1,43,impulse_noise,1,83.82
cutmix_p1,43,impulse_noise,2,64.09
cutmix_p1,43,impulse_noise,3,48.23
cutmix_p1,43,impulse_noise,4,33.54
cutmix_p1,43,impulse_noise,5,27.77
cutmix_p1,43,jpeg_compression,1,84.49
cutmix_p1,43,jpeg_compression,2,76.95
cutmix_p1,43,jpeg_compression,3,73.96
cutmix_p1,43,jpeg_compression,4,69.85
cutmix_p1,43,jpeg_compression,5,64.86
cutmix_p1,43,motion_blur,1,91.4
cutmix_p1,43,motion_blur,2,84.23
cutmix_p1,43,motion_blur,3,75.86
cutmix_p1,43,motion_blur,4,75.81
cutmix_p1,43,motion_blur,5,67.6
cutmix_p1,43,pixelate,1,93.11
cutmix_p1,43,pixelate,2,85.84
cutmix_p1,43,pixelate,3,78.4
cutmix_p1,43,pixelate,4,51.27
cutmix_p1,43,pixelate,5,28.77
cutmix_p1,43,shot_noise,1,75.48
cutmix_p1,43,shot_noise,2,58.84
cutmix_p1,43,shot_noise,3,29.45
cutmix_p1,43,shot_noise,4,22.31
cutmix_p1,43,shot_noise,5,16.1
cutmix_p1,43,snow,1,92.56
cutmix_p1,43,snow,2,84.4
cutmix_p1,43,snow,3,87.46
cutmix_p1,43,snow,4,85.18
cutmix_p1,43,snow,5,78.83
cutmix_p1,43,zoom_blur,1,89.22
cutmix_p1,43,zoom_blur,2,85.1
cutmix_p1,43,zoom_blur,3,77.68
cutmix_p1,43,zoom_blur,4,69.66
cutmix_p1,43,zoom_blur,5,56.55
cutmix_p1,44,brightness,1,95.78
cutmix_p1,44,brightness,2,95.44
cutmix_p1,44,brightness,3,94.89
cutmix_p1,44,brightness,4,93.96
cutmix_p1,44,brightness,5,91.46
cutmix_p1,44,contrast,1,95.34
cutmix_p1,44,contrast,2,92.86
cutmix_p1,44,contrast,3,89.95
cutmix_p1,44,contrast,4,82.96
cutmix_p1,44,contrast,5,45.64
cutmix_p1,44,defocus_blur,1,95.71
cutmix_p1,44,defocus_blur,2,94.1
cutmix_p1,44,defocus_blur,3,87.46
cutmix_p1,44,defocus_blur,4,77.39
cutmix_p1,44,defocus_blur,5,42.33
cutmix_p1,44,elastic_transform,1,91.64
cutmix_p1,44,elastic_transform,2,90.98
cutmix_p1,44,elastic_transform,3,85.77
cutmix_p1,44,elastic_transform,4,78.08
cutmix_p1,44,elastic_transform,5,73.39
cutmix_p1,44,fog,1,95.59
cutmix_p1,44,fog,2,94.65
cutmix_p1,44,fog,3,93.08
cutmix_p1,44,fog,4,89.92
cutmix_p1,44,fog,5,72.21
cutmix_p1,44,frost,1,90.95
cutmix_p1,44,frost,2,85.78
cutmix_p1,44,frost,3,77.46
cutmix_p1,44,frost,4,75.35
cutmix_p1,44,frost,5,65.98
cutmix_p1,44,gaussian_noise,1,64.61
cutmix_p1,44,gaussian_noise,2,39.51
cutmix_p1,44,gaussian_noise,3,23.59
cutmix_p1,44,gaussian_noise,4,19.02
cutmix_p1,44,gaussian_noise,5,16.31
cutmix_p1,44,glass_blur,1,61.34
cutmix_p1,44,glass_blur,2,62.81
cutmix_p1,44,glass_blur,3,64.85
cutmix_p1,44,glass_blur,4,51.22
cutmix_p1,44,glass_blur,5,53.53
cutmix_p1,44,impulse_noise,1,83.0
cutmix_p1,44,impulse_noise,2,63.8
cutmix_p1,44,impulse_noise,3,50.07
cutmix_p1,44,impulse_noise,4,35.82
cutmix_p1,44,impulse_noise,5,25.13
cutmix_p1,44,jpeg_compression,1,83.79
cutmix_p1,44,jpeg_compression,2,76.25
cutmix_p1,44,jpeg_compression,3,72.74
cutmix_p1,44,jpeg_compression,4,68.53
cutmix_p1,44,jpeg_compression,5,62.85
cutmix_p1,44,motion_blur,1,91.19
cutmix_p1,44,motion_blur,2,83.4
cutmix_p1,44,motion_blur,3,75.0
cutmix_p1,44,motion_blur,4,74.77
cutmix_p1,44,motion_blur,5,65.65
cutmix_p1,44,pixelate,1,93.71
cutmix_p1,44,pixelate,2,87.38
cutmix_p1,44,pixelate,3,80.64
cutmix_p1,44,pixelate,4,54.24
cutmix_p1,44,pixelate,5,39.16
cutmix_p1,44,shot_noise,1,75.99
cutmix_p1,44,shot_noise,2,61.52
cutmix_p1,44,shot_noise,3,35.38
cutmix_p1,44,shot_noise,4,28.33
cutmix_p1,44,shot_noise,5,19.89
cutmix_p1,44,snow,1,92.77
cutmix_p1,44,snow,2,84.94
cutmix_p1,44,snow,3,87.64
cutmix_p1,44,snow,4,85.21
cutmix_p1,44,snow,5,79.15
cutmix_p1,44,zoom_blur,1,87.98
cutmix_p1,44,zoom_blur,2,83.1
cutmix_p1,44,zoom_blur,3,74.51
cutmix_p1,44,zoom_blur,4,64.87
cutmix_p1,44,zoom_blur,5,51.69
