control,corruption,severity,mean,std,minimum,maximum,seeds
baseline,jpeg_compression,5,-4.393333333333331,1.1314739649383554,-5.489999999999995,-3.230000000000004,3
baseline,motion_blur,1,0.6066666666666644,0.17473789896109257,0.45999999999999375,0.8000000000000114,3
baseline,motion_blur,2,-0.40333333333333127,0.5371529887595575,-0.789999999999992,0.20999999999999375,3
baseline,motion_blur,3,-0.7766666666666614,0.9222978549976856,-1.8199999999999932,-0.06999999999999318,3
baseline,motion_blur,4,-0.8433333333333385,0.8280901722236131,-1.730000000000004,-0.09000000000000341,3
baseline,motion_blur,5,-0.8833333333333352,1.5238219493541043,-2.6200000000000045,0.23000000000000398,3
baseline,pixelate,1,1.1866666666666674,0.4673685198356174,0.6700000000000017,1.5800000000000125,3
baseline,pixelate,2,-0.14666666666666592,0.6439202849214604,-0.8900000000000006,0.23999999999999488,3
baseline,pixelate,3,-2.270000000000001,1.090137605992928,-3.3499999999999943,-1.1700000000000017,3
baseline,pixelate,4,-8.366666666666672,2.191468305345381,-9.920000000000009,-5.859999999999999,3
baseline,pixelate,5,-5.68,2.387613871630003,-8.170000000000002,-3.4099999999999966,3
baseline,shot_noise,1,-3.0333333333333363,1.9638058288266032,-4.38000000000001,-0.7800000000000011,3
baseline,shot_noise,2,-4.63333333333333,3.110905548764439,-7.700000000000003,-1.4799999999999898,3
baseline,shot_noise,3,-3.856666666666667,2.5795413028934715,-6.520000000000003,-1.3699999999999974,3
baseline,shot_noise,4,-3.3033333333333346,2.374454323277949,-5.950000000000003,-1.3599999999999994,3
baseline,shot_noise,5,-2.986666666666668,0.8994628026401852,-3.5600000000000023,-1.9499999999999993,3
baseline,snow,1,2.5666666666666678,0.3807011076071827,2.200000000000003,2.960000000000008,3
baseline,snow,2,3.3699999999999997,2.278881304500083,1.980000000000004,6.0,3
baseline,snow,3,3.1866666666666625,0.8396626306638437,2.6099999999999994,4.1499999999999915,3
baseline,snow,4,3.259999999999996,1.4174272468102227,2.009999999999991,4.799999999999997,3
baseline,snow,5,2.9366666666666674,1.7614293438379365,1.6799999999999926,4.950000000000003,3
baseline,zoom_blur,1,1.1199999999999999,0.27221315177631805,0.9200000000000017,1.4299999999999926,3
baseline,zoom_blur,2,-0.666666666666662,1.0556672455529343,-1.3399999999999892,0.5499999999999972,3
baseline,zoom_blur,3,-2.569999999999998,1.5439883419248916,-3.739999999999995,-0.8200000000000074,3
baseline,zoom_blur,4,-5.296666666666662,2.1411756895064316,-6.9199999999999875,-2.8699999999999903,3
baseline,zoom_blur,5,-8.286666666666669,2.5369338448870398,-10.440000000000005,-5.490000000000002,3
cutmix_p1,brightness,1,-0.24000000000000435,0.32511536414018,-0.5700000000000074,0.0799999999999983,3
cutmix_p1,brightness,2,-0.173333333333332,0.1628905563049417,-0.35999999999999943,-0.060000000000002274,3
cutmix_p1,brightness,3,-0.29000000000000153,0.30512292604783975,-0.5999999999999943,0.009999999999990905,3
cutmix_p1,brightness,4,-0.27333333333333104,0.11590225767142762,-0.37999999999999545,-0.14999999999999147,3
cutmix_p1,brightness,5,0.2200000000000036,0.17521415467934218,0.05000000000001137,0.3999999999999915,3
cutmix_p1,contrast,1,-0.12000000000000928,0.16462077633154548,-0.22000000000001307,0.06999999999999318,3
cutmix_p1,contrast,2,-0.040000000000001514,0.1252996408614167,-0.1700000000000017,0.0799999999999983,3
cutmix_p1,contrast,3,-0.07333333333333296,0.2640706976045101,-0.35999999999999943,0.1599999999999966,3
cutmix_p1,contrast,4,0.3966666666666659,0.5732654998631433,-0.060000000000002274,1.0400000000000063,3
cutmix_p1,contrast,5,1.4599999999999984,0.8146778504415094,0.5399999999999991,2.0899999999999963,3
cutmix_p1,defocus_blur,1,-0.19666666666666308,0.23115651263448095,-0.4399999999999977,0.020000000000010232,3
cutmix_p1,defocus_blur,2,-0.11999999999999507,0.40149719799770045,-0.5,0.30000000000001137,3
cutmix_p1,defocus_blur,3,0.3633333333333392,1.2345174495864126,-0.539999999999992,1.7700000000000102,3
cutmix_p1,defocus_blur,4,-0.42999999999999733,2.272355605973669,-2.3699999999999903,2.069999999999993,3
cutmix_p1,defocus_blur,5,2.326666666666668,8.04538584117215,-2.6199999999999974,11.61,3
cutmix_p1,elastic_transform,1,-0.36999999999999983,0.03605551275464257,-0.4000000000000057,-0.3299999999999983,3
cutmix_p1,elastic_transform,2,-0.26666666666667044,0.3002221399786025,-0.5600000000000023,0.03999999999999204,3
cutmix_p1,elastic_transform,3,0.47333333333333866,0.33231511150312504,0.09000000000000341,0.6800000000000068,3
cutmix_p1,elastic_transform,4,0.5633333333333326,1.0678170879571751,-0.6500000000000057,1.3599999999999994,3
cutmix_p1,elastic_transform,5,0.9833333333333343,0.4950084174368531,0.4899999999999949,1.480000000000004,3
cutmix_p1,fog,1,-0.11666666666666951,0.20744477176668705,-0.3400000000000034,0.06999999999999318,3
cutmix_p1,fog,2,-0.05666666666666723,0.32883633213702096,-0.4299999999999926,0.18999999999999773,3
cutmix_p1,fog,3,-0.19000000000000247,0.08185352771872123,-0.2600000000000051,-0.10000000000000853,3
cutmix_p1,fog,4,0.046666666666666856,0.2970409623828522,-0.18999999999999773,0.37999999999999545,3
cutmix_p1,fog,5,-0.26666666666667044,1.280013020767115,-1.5500000000000114,1.0100000000000051,3
cutmix_p1,frost,1,-0.3100000000000023,0.35510561809129104,-0.6599999999999966,0.04999999999999716,3
cutmix_p1,frost,2,-0.40000000000000097,0.14422205101856042,-0.5600000000000023,-0.28000000000000114,3
cutmix_p1,frost,3,-0.21999999999999886,1.2810542533397966,-1.4699999999999989,1.0899999999999892,3
