method,corruption,severity,mean,std,seeds
cutmix_p05,pixelate,4,56.96333333333333,0.8538344882547999,3
cutmix_p05,pixelate,5,42.46666666666667,1.6346661228927843,3
cutmix_p05,shot_noise,1,82.52,1.3003461077728489,3
cutmix_p05,shot_noise,2,71.27333333333333,2.784696273084975,3
cutmix_p05,shot_noise,3,48.843333333333334,4.725487629158854,3
cutmix_p05,shot_noise,4,40.67333333333333,4.0708025416781535,3
cutmix_p05,shot_noise,5,29.313333333333333,3.425088806634556,3
cutmix_p05,snow,1,91.90333333333335,0.09865765724632332,3
cutmix_p05,snow,2,83.45333333333333,0.9500701728468967,3
cutmix_p05,snow,3,86.36333333333333,0.300887575903911,3
cutmix_p05,snow,4,83.77333333333333,0.1644181660685146,3
cutmix_p05,snow,5,78.31666666666666,0.6975910932153081,3
cutmix_p05,zoom_blur,1,88.97000000000001,0.2722131517763256,3
cutmix_p05,zoom_blur,2,84.32666666666667,0.8789956389728717,3
cutmix_p05,zoom_blur,3,76.66666666666667,1.4360478172168623,3
cutmix_p05,zoom_blur,4,67.85666666666667,2.062870168802042,3
cutmix_p05,zoom_blur,5,54.48666666666667,2.540715122427807,3
cutmix_p1,brightness,1,95.69,0.13892443989449854,3
cutmix_p1,brightness,2,95.25666666666666,0.18009256878986962,3
cutmix_p1,brightness,3,94.71666666666665,0.1750238079043314,3
cutmix_p1,brightness,4,93.88333333333333,0.12423096769056438,3
cutmix_p1,brightness,5,90.99000000000001,0.4603259714593553,3
cutmix_p1,contrast,1,95.23333333333335,0.09237604307034021,3
cutmix_p1,contrast,2,92.62666666666667,0.23501772982763391,3
cutmix_p1,contrast,3,89.64,0.3634556369077295,3
cutmix_p1,contrast,4,82.51333333333334,0.3888873015840655,3
cutmix_p1,contrast,5,44.60333333333333,0.9890567897412839,3
cutmix_p1,defocus_blur,1,95.64333333333333,0.11547005383791858,3
cutmix_p1,defocus_blur,2,94.23333333333333,0.17387735140993743,3
cutmix_p1,defocus_blur,3,88.36,0.7846018098373265,3
cutmix_p1,defocus_blur,4,78.78666666666668,1.3350031210949749,3
cutmix_p1,defocus_blur,5,46.11333333333334,3.388721489490295,3
cutmix_p1,elastic_transform,1,91.65666666666668,0.09609023536933947,3
cutmix_p1,elastic_transform,2,91.10000000000001,0.2893095228297926,3
cutmix_p1,elastic_transform,3,86.01333333333332,0.4923751956926086,3
cutmix_p1,elastic_transform,4,78.98,1.2837055737200826,3
cutmix_p1,elastic_transform,5,73.88,0.5866003750424976,3
cutmix_p1,fog,1,95.55,0.17349351572897706,3
cutmix_p1,fog,2,94.47333333333334,0.2040424792373793,3
cutmix_p1,fog,3,92.8,0.24331050121193032,3
cutmix_p1,fog,4,89.67333333333333,0.306648550189519,3
cutmix_p1,fog,5,72.19666666666667,0.3202082655606126,3
cutmix_p1,frost,1,90.59333333333332,0.3137408697210733,3
cutmix_p1,frost,2,85.23333333333333,0.6197849089267446,3
cutmix_p1,frost,3,76.05,1.228535713766594,3
cutmix_p1,frost,4,74.05333333333333,1.1310319771488915,3
cutmix_p1,frost,5,64.25,1.4986327101728443,3
cutmix_p1,gaussian_noise,1,63.199999999999996,1.5440531078949344,3
cutmix_p1,gaussian_noise,2,34.77,4.120715957209379,3
cutmix_p1,gaussian_noise,3,19.583333333333332,3.560903443416198,3
cutmix_p1,gaussian_noise,4,16.01,2.728204537786712,3
cutmix_p1,gaussian_noise,5,14.053333333333333,2.1621825393183918,3
cutmix_p1,glass_blur,1,57.71,3.701985953511984,3
cutmix_p1,glass_blur,2,59.580000000000005,3.2350115919421354,3
cutmix_p1,glass_blur,3,62.39333333333334,2.4650422579204023,3
cutmix_p1,glass_blur,4,47.79,3.4101759485398975,3
cutmix_p1,glass_blur,5,51.403333333333336,2.248584740082822,3
cutmix_p1,impulse_noise,1,84.25,1.511588568361118,3
cutmix_p1,impulse_noise,2,65.71,3.060506494030024,3
cutmix_p1,impulse_noise,3,50.85333333333333,3.0903775389640233,3
cutmix_p1,impulse_noise,4,34.57,1.1558114033007292,3
cutmix_p1,impulse_noise,5,24.39,3.804365913000483,3
cutmix_p1,jpeg_compression,1,84.18333333333334,0.3579571668975638,3
cutmix_p1,jpeg_compression,2,76.85333333333334,0.5612783029240802,3
cutmix_p1,jpeg_compression,3,73.38666666666666,0.6132971003790335,3
cutmix_p1,jpeg_compression,4,69.26,0.671043962792304,3
cutmix_p1,jpeg_compression,5,63.943333333333335,1.0165792312128648,3
cutmix_p1,motion_blur,1,91.29666666666667,0.10503967504392867,3
cutmix_p1,motion_blur,2,83.5,0.6854925236645515,3
cutmix_p1,motion_blur,3,75.01,0.8450443775329188,3
cutmix_p1,motion_blur,4,74.92333333333333,0.820812605491252,3
cutmix_p1,motion_blur,5,66.19333333333333,1.2286713691355071,3
cutmix_p1,pixelate,1,93.30666666666666,0.349332697200441,3
cutmix_p1,pixelate,2,86.64999999999999,0.7731106001084185,3
cutmix_p1,pixelate,3,79.44,1.1285388783732704,3
cutmix_p1,pixelate,4,52.77,1.4852272553383887,3
cutmix_p1,pixelate,5,35.45333333333333,5.799433880417409,3
cutmix_p1,shot_noise,1,76.28666666666668,0.9889556781440365,3
cutmix_p1,shot_noise,2,60.20666666666667,1.3407957836051458,3
cutmix_p1,shot_noise,3,30.89,3.970906697468478,3
cutmix_p1,shot_noise,4,23.80666666666667,3.9913197483205116,3
cutmix_p1,shot_noise,5,16.646666666666665,3.007496190077941,3
cutmix_p1,snow,1,92.63666666666666,0.11590225767142794,3
cutmix_p1,snow,2,84.54333333333334,0.34789845261704144,3
cutmix_p1,snow,3,87.50333333333333,0.12096831541082705,3
cutmix_p1,snow,4,85.07,0.21702534414211183,3
cutmix_p1,snow,5,78.90333333333334,0.21939310229205972,3
cutmix_p1,zoom_blur,1,88.68333333333334,0.636579400651114,3
cutmix_p1,zoom_blur,2,84.39333333333333,1.1216654284292331,3
cutmix_p1,zoom_blur,3,76.47333333333334,1.7151190434874621,3
cutmix_p1,zoom_blur,4,67.68,2.5005399416925935,3
cutmix_p1,zoom_blur,5,54.65,2.5976142900746444,3
