seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
42,motion_blur,4,74.49,74.19,cutmix_p1,0.29999999999999716
42,motion_blur,5,65.6,65.33,cutmix_p1,0.269999999999996
42,pixelate,1,93.24,93.1,cutmix_p1,0.14000000000000057
42,pixelate,2,86.98,86.73,cutmix_p1,0.25
42,pixelate,3,80.13,79.28,cutmix_p1,0.8499999999999943
42,pixelate,4,56.87,52.8,cutmix_p1,4.07
42,pixelate,5,43.36,38.43,cutmix_p1,4.93
42,shot_noise,1,83.99,77.39,cutmix_p1,6.599999999999994
42,shot_noise,2,74.4,60.26,cutmix_p1,14.140000000000008
42,shot_noise,3,54.18,27.84,cutmix_p1,26.34
42,shot_noise,4,45.33,20.78,cutmix_p1,24.549999999999997
42,shot_noise,5,33.0,13.95,cutmix_p1,19.05
42,snow,1,91.95,92.58,cutmix_p1,-0.6299999999999955
42,snow,2,84.41,84.29,cutmix_p1,0.11999999999999034
42,snow,3,86.71,87.41,cutmix_p1,-0.7000000000000028
42,snow,4,83.96,84.82,cutmix_p1,-0.8599999999999994
42,snow,5,78.89,78.73,cutmix_p1,0.1599999999999966
42,zoom_blur,1,88.68,88.85,cutmix_p1,-0.1699999999999875
42,zoom_blur,2,83.5,84.98,cutmix_p1,-1.480000000000004
42,zoom_blur,3,75.2,77.23,cutmix_p1,-2.030000000000001
42,zoom_blur,4,66.24,68.51,cutmix_p1,-2.2700000000000102
42,zoom_blur,5,52.67,55.71,cutmix_p1,-3.039999999999999
43,brightness,1,95.3,95.53,cutmix_p1,-0.23000000000000398
43,brightness,2,95.02,95.08,cutmix_p1,-0.060000000000002274
43,brightness,3,94.55,94.54,cutmix_p1,0.009999999999990905
43,brightness,4,93.66,93.95,cutmix_p1,-0.29000000000000625
43,brightness,5,91.18,90.97,cutmix_p1,0.21000000000000796
43,contrast,1,94.96,95.18,cutmix_p1,-0.22000000000001307
43,contrast,2,92.46,92.63,cutmix_p1,-0.1700000000000017
43,contrast,3,89.37,89.73,cutmix_p1,-0.35999999999999943
43,contrast,4,82.27,82.33,cutmix_p1,-0.060000000000002274
43,contrast,5,45.04,44.5,cutmix_p1,0.5399999999999991
43,defocus_blur,1,95.27,95.71,cutmix_p1,-0.4399999999999977
43,defocus_blur,2,93.93,94.43,cutmix_p1,-0.5
43,defocus_blur,3,88.76,88.9,cutmix_p1,-0.14000000000000057
43,defocus_blur,4,77.68,80.05,cutmix_p1,-2.3699999999999903
43,defocus_blur,5,46.25,48.87,cutmix_p1,-2.6199999999999974
43,elastic_transform,1,91.36,91.76,cutmix_p1,-0.4000000000000057
43,elastic_transform,2,90.87,91.43,cutmix_p1,-0.5600000000000023
43,elastic_transform,3,86.67,86.58,cutmix_p1,0.09000000000000341
43,elastic_transform,4,79.8,80.45,cutmix_p1,-0.6500000000000057
43,elastic_transform,5,75.02,74.53,cutmix_p1,0.4899999999999949
43,fog,1,95.36,95.7,cutmix_p1,-0.3400000000000034
43,fog,2,94.09,94.52,cutmix_p1,-0.4299999999999926
43,fog,3,92.58,92.68,cutmix_p1,-0.10000000000000853
43,fog,4,89.58,89.77,cutmix_p1,-0.18999999999999773
43,fog,5,70.96,72.51,cutmix_p1,-1.5500000000000114
43,frost,1,89.7,90.36,cutmix_p1,-0.6599999999999966
43,frost,2,84.2,84.56,cutmix_p1,-0.35999999999999943
43,frost,3,74.93,75.21,cutmix_p1,-0.2799999999999869
43,frost,4,72.84,73.54,cutmix_p1,-0.7000000000000028
43,frost,5,62.94,63.35,cutmix_p1,-0.4100000000000037
43,gaussian_noise,1,71.17,61.55,cutmix_p1,9.620000000000005
43,gaussian_noise,2,49.55,32.76,cutmix_p1,16.79
43,gaussian_noise,3,33.68,18.38,cutmix_p1,15.3
43,gaussian_noise,4,28.16,15.31,cutmix_p1,12.85
43,gaussian_noise,5,23.98,13.85,cutmix_p1,10.13
43,glass_blur,1,53.73,57.85,cutmix_p1,-4.1200000000000045
43,glass_blur,2,56.39,59.59,cutmix_p1,-3.200000000000003
43,glass_blur,3,59.27,62.41,cutmix_p1,-3.1399999999999935
43,glass_blur,4,44.39,47.75,cutmix_p1,-3.3599999999999994
43,glass_blur,5,48.42,51.63,cutmix_p1,-3.210000000000001
43,impulse_noise,1,88.34,83.82,cutmix_p1,4.52000000000001
43,impulse_noise,2,75.65,64.09,cutmix_p1,11.560000000000002
43,impulse_noise,3,61.36,48.23,cutmix_p1,13.130000000000003
43,impulse_noise,4,40.03,33.54,cutmix_p1,6.490000000000002
43,impulse_noise,5,26.78,27.77,cutmix_p1,-0.9899999999999984
